ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2021-11-15,490.6476369452,436.0121675261345,559.4503442619009,490.6476369452,490.6476369452,5.413702782363679,5.413702782363679,5.413702782363679,5.413702782363679,5.413702782363679,5.413702782363679,0.0,0.0,0.0,496.0613397275637
2021-11-22,493.1832813217792,437.6992530299176,558.7404464022204,493.1832813217792,493.1832813217792,5.413702782252263,5.413702782252263,5.413702782252263,5.413702782252263,5.413702782252263,5.413702782252263,0.0,0.0,0.0,498.59698410403143
2021-11-29,495.71892569835836,443.2494824887559,570.000178139088,495.71892569835836,495.71892569835836,5.413702782365159,5.413702782365159,5.413702782365159,5.413702782365159,5.413702782365159,5.413702782365159,0.0,0.0,0.0,501.1326284807235
2021-12-04,497.53010025305775,474.5405980470581,597.0970129867136,497.53010025305775,497.53010025305775,36.06571012125762,36.06571012125762,36.06571012125762,36.06571012125762,36.06571012125762,36.06571012125762,0.0,0.0,0.0,533.5958103743154
2021-12-07,498.61680498587737,383.3276523422841,509.77717307551325,498.61680498587737,498.61680498587737,-51.23364882425397,-51.23364882425397,-51.23364882425397,-51.23364882425397,-51.23364882425397,-51.23364882425397,0.0,0.0,0.0,447.3831561616234
2021-12-13,500.79021445151665,436.39956377120166,571.8914968261142,500.79021445151665,500.79021445151665,5.413702782142337,5.413702782142337,5.413702782142337,5.413702782142337,5.413702782142337,5.413702782142337,0.0,0.0,0.0,506.203917233659
2021-12-20,503.3258588280958,444.80701904923546,567.4798845190381,503.3258588280958,503.3258588280958,5.413702782255236,5.413702782255236,5.413702782255236,5.413702782255236,5.413702782255236,5.413702782255236,0.0,0.0,0.0,508.7395616103511
2021-12-27,505.861503204675,448.490508934294,574.7896051867773,505.861503204675,505.861503204675,5.413702782143828,5.413702782143828,5.413702782143828,5.413702782143828,5.413702782143828,5.413702782143828,0.0,0.0,0.0,511.27520598681883
2022-01-02,508.03491267031427,458.4961432703091,584.5457861128588,508.03490711845006,508.03491956186986,11.237335765694972,11.237335765694972,11.237335765694972,11.237335765694972,11.237335765694972,11.237335765694972,0.0,0.0,0.0,519.2722484360092
2022-01-09,510.57055704689344,461.57055045937784,587.8330713966902,510.57052156827365,510.57059036314376,11.237335765625142,11.237335765625142,11.237335765625142,11.237335765625142,11.237335765625142,11.237335765625142,0.0,0.0,0.0,521.8078928125186
2022-01-16,513.1062014234726,462.6755534310675,592.7067648711734,513.106123494186,513.1062783235684,11.237335765734015,11.237335765734015,11.237335765734015,11.237335765734015,11.237335765734015,11.237335765734015,0.0,0.0,0.0,524.3435371892066
2022-01-23,515.6418458000518,466.5441958377748,586.5915860662707,515.6417177374703,515.6419778460524,11.23733576548548,11.23733576548548,11.23733576548548,11.23733576548548,11.23733576548548,11.23733576548548,0.0,0.0,0.0,526.8791815655372
2022-01-30,518.177490176631,469.13748594341945,595.0208366334592,518.177297719777,518.1776928736681,11.23733576575489,11.23733576575489,11.23733576575489,11.23733576575489,11.23733576575489,11.23733576575489,0.0,0.0,0.0,529.4148259423858
2022-02-06,520.71313455321,469.3921824130684,597.9085860691349,520.712884795621,520.713416989812,11.23733576568506,11.23733576568506,11.23733576568506,11.23733576568506,11.23733576568506,11.23733576568506,0.0,0.0,0.0,531.9504703188951
2022-02-13,523.2487789297892,466.9525373066186,599.2373801610131,523.2484535321252,523.2491345867874,11.237335765615235,11.237335765615235,11.237335765615235,11.237335765615235,11.237335765615235,11.237335765615235,0.0,0.0,0.0,534.4861146954045
2022-02-20,525.7844233063684,471.15654552029343,600.6510268481204,525.7840026935486,525.7848535460672,11.237335765545403,11.237335765545403,11.237335765545403,11.237335765545403,11.237335765545403,11.237335765545403,0.0,0.0,0.0,537.0217590719137
2022-02-27,528.3200676829475,475.31155994914934,597.9952830318341,528.3195476523667,528.3205801425801,11.237335765814812,11.237335765814812,11.237335765814812,11.237335765814812,11.237335765814812,11.237335765814812,0.0,0.0,0.0,539.5574034487623
