ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2022-08-14,1469.8423832217982,1375.639892827113,1673.7313850628677,1469.8422056140375,1469.8425729261842,54.22415088676426,54.22415088676426,54.22415088676426,54.22415088676426,54.22415088676426,54.22415088676426,0.0,0.0,0.0,1524.0665341085623
2022-08-21,1472.472072336689,1381.2081421239516,1672.7215911390165,1472.4718912506792,1472.472270044486,54.22415088580998,54.22415088580998,54.22415088580998,54.22415088580998,54.22415088580998,54.22415088580998,0.0,0.0,0.0,1526.696223222499
2022-08-28,1475.10176145158,1370.4577566584348,1676.2259831770361,1475.1015727146082,1475.1019673144513,54.22415088623273,54.22415088623273,54.22415088623273,54.22415088623273,54.22415088623273,54.22415088623273,0.0,0.0,0.0,1529.3259123378127
2022-09-04,1477.7314505664708,1385.4168462803068,1684.9060086052366,1477.7312538903368,1477.7316651771696,54.22415088596698,54.22415088596698,54.22415088596698,54.22415088596698,54.22415088596698,54.22415088596698,0.0,0.0,0.0,1531.9556014524378
2022-09-11,1480.3611396813617,1379.7540932646668,1676.4039580101269,1480.3609352289745,1480.3613629201714,54.22415088570121,54.22415088570121,54.22415088570121,54.22415088570121,54.22415088570121,54.22415088570121,0.0,0.0,0.0,1534.5852905670629
2022-09-18,1482.9908287962526,1397.1298878766834,1675.466522424671,1482.99061711822,1482.9910600742792,54.224150886035915,54.224150886035915,54.224150886035915,54.224150886035915,54.224150886035915,54.224150886035915,0.0,0.0,0.0,1537.2149796822885
2022-09-25,1485.6205179111435,1390.510944174814,1697.4774639560726,1485.6202988213383,1485.6207573329311,54.22415088645866,54.22415088645866,54.22415088645866,54.22415088645866,54.22415088645866,54.22415088645866,0.0,0.0,0.0,1539.844668797602
2022-10-02,1488.2502070260343,1396.312264072417,1692.4094993743108,1488.2499804980316,1488.2504548369818,54.224150885504386,54.224150885504386,54.224150885504386,54.224150885504386,54.224150885504386,54.224150885504386,0.0,0.0,0.0,1542.4743579115386
2022-10-09,1490.8798961409252,1400.2888594995968,1697.9444728017743,1490.8796593554725,1490.8801488223805,54.22415088592714,54.22415088592714,54.22415088592714,54.22415088592714,54.22415088592714,54.22415088592714,0.0,0.0,0.0,1545.1040470268524
2022-10-16,1493.509585255816,1396.7154581292236,1689.690005876461,1493.509337001804,1493.5098430325434,54.224150886261846,54.224150886261846,54.224150886261846,54.224150886261846,54.224150886261846,54.224150886261846,0.0,0.0,0.0,1547.733736142078
